date;code_insee_region;region;tmin;tmax;tmoy
28/02/2016;27;Bourgogne-Franche-ComtÃ©;0.48;7.05;3.77
28/02/2016;24;Centre-Val de Loire;-0.1;6.45;3.17
29/02/2016;52;Pays de la Loire;0.35;10.0;5.18
29/02/2016;24;Centre-Val de Loire;-0.65;8.73;4.04
29/02/2016;28;Normandie;1.06;7.96;4.51
29/02/2016;75;Nouvelle-Aquitaine;1.41;9.43;5.42
01/03/2016;52;Pays de la Loire;0.55;11.05;5.8
02/03/2016;44;Grand Est;2.17;8.29;5.23
02/03/2016;27;Bourgogne-Franche-ComtÃ©;2.28;9.65;5.97
02/03/2016;75;Nouvelle-Aquitaine;7.27;12.11;9.69
02/03/2016;52;Pays de la Loire;5.65;11.25;8.45
02/03/2016;93;Provence-Alpes-CÃ´te d'Azur;5.32;14.83;10.08
03/03/2016;93;Provence-Alpes-CÃ´te d'Azur;3.65;12.62;8.13
03/03/2016;24;Centre-Val de Loire;2.75;9.68;6.22
04/03/2016;32;Hauts-de-France;2.56;8.2;5.38
04/03/2016;84;Auvergne-RhÃ´ne-Alpes;0.69;10.09;5.39
04/03/2016;11;ÃŽle-de-France;3.42;8.46;5.94
05/03/2016;53;Bretagne;2.48;8.35;5.41
05/03/2016;27;Bourgogne-Franche-ComtÃ©;2.43;7.53;4.98
05/03/2016;93;Provence-Alpes-CÃ´te d'Azur;6.03;12.18;9.11
06/03/2016;24;Centre-Val de Loire;-0.42;8.58;4.08
07/03/2016;93;Provence-Alpes-CÃ´te d'Azur;0.63;11.62;6.12
07/03/2016;28;Normandie;1.78;6.36;4.07
07/03/2016;24;Centre-Val de Loire;0.42;6.57;3.49
07/03/2016;94;Corse;3.85;13.65;8.75
07/03/2016;11;ÃŽle-de-France;0.98;6.3;3.64
08/03/2016;84;Auvergne-RhÃ´ne-Alpes;-0.34;4.79;2.23
08/03/2016;11;ÃŽle-de-France;0.38;8.92;4.65
08/03/2016;93;Provence-Alpes-CÃ´te d'Azur;1.85;10.25;6.05
08/03/2016;94;Corse;5.75;12.85;9.3
09/03/2016;84;Auvergne-RhÃ´ne-Alpes;-3.65;7.52;1.94
09/03/2016;24;Centre-Val de Loire;3.87;9.6;6.73
10/03/2016;28;Normandie;4.56;8.22;6.39
10/03/2016;93;Provence-Alpes-CÃ´te d'Azur;3.17;15.5;9.33
10/03/2016;52;Pays de la Loire;5.25;9.7;7.48
10/03/2016;11;ÃŽle-de-France;3.66;9.22;6.44
11/03/2016;32;Hauts-de-France;0.22;10.36;5.29
11/03/2016;28;Normandie;2.34;10.4;6.37
11/03/2016;84;Auvergne-RhÃ´ne-Alpes;0.41;10.33;5.37
12/03/2016;76;Occitanie;2.77;12.13;7.45
12/03/2016;94;Corse;7.25;16.3;11.78
12/03/2016;53;Bretagne;-0.62;10.95;5.16
12/03/2016;52;Pays de la Loire;0.05;12.3;6.18
13/03/2016;44;Grand Est;-0.27;10.0;4.86
13/03/2016;27;Bourgogne-Franche-ComtÃ©;-0.03;9.58;4.78
14/03/2016;28;Normandie;2.14;9.16;5.65
14/03/2016;24;Centre-Val de Loire;2.63;11.3;6.97
15/03/2016;32;Hauts-de-France;-0.12;11.3;5.59
15/03/2016;76;Occitanie;4.4;15.53;9.96
15/03/2016;52;Pays de la Loire;1.85;13.25;7.55
16/03/2016;76;Occitanie;5.11;8.59;6.85
16/03/2016;44;Grand Est;1.01;7.61;4.31
16/03/2016;93;Provence-Alpes-CÃ´te d'Azur;5.3;9.15;7.22
17/03/2016;32;Hauts-de-France;0.6;11.06;5.83
17/03/2016;27;Bourgogne-Franche-ComtÃ©;-0.68;13.98;6.65
20/03/2016;32;Hauts-de-France;4.78;7.7;6.24
20/03/2016;24;Centre-Val de Loire;1.97;11.47;6.72
21/03/2016;94;Corse;9.75;17.25;13.5
21/03/2016;24;Centre-Val de Loire;0.35;10.82;5.58
21/03/2016;52;Pays de la Loire;2.05;12.05;7.05
21/03/2016;27;Bourgogne-Franche-ComtÃ©;-0.13;11.88;5.88
22/03/2016;28;Normandie;2.96;11.24;7.1
22/03/2016;93;Provence-Alpes-CÃ´te d'Azur;6.63;18.22;12.42
23/03/2016;75;Nouvelle-Aquitaine;3.58;14.68;9.13
23/03/2016;32;Hauts-de-France;3.94;10.24;7.09
23/03/2016;94;Corse;11.15;16.8;13.98
23/03/2016;52;Pays de la Loire;2.85;13.8;8.32
23/03/2016;93;Provence-Alpes-CÃ´te d'Azur;7.25;15.98;11.62
23/03/2016;24;Centre-Val de Loire;1.88;10.98;6.43
24/03/2016;27;Bourgogne-Franche-ComtÃ©;0.23;11.95;6.09
24/03/2016;75;Nouvelle-Aquitaine;2.52;14.23;8.38
24/03/2016;28;Normandie;2.46;10.54;6.5
24/03/2016;53;Bretagne;3.55;11.48;7.51
25/03/2016;11;ÃŽle-de-France;6.7;14.3;10.5
25/03/2016;76;Occitanie;5.42;12.99;9.2
26/03/2016;28;Normandie;3.78;14.3;9.04
26/03/2016;52;Pays de la Loire;6.9;16.35;11.62
27/03/2016;94;Corse;6.55;17.15;11.85
27/03/2016;11;ÃŽle-de-France;6.38;14.04;10.21
27/03/2016;93;Provence-Alpes-CÃ´te d'Azur;6.22;12.43;9.33
28/03/2016;27;Bourgogne-Franche-ComtÃ©;4.1;16.0;10.05
28/03/2016;44;Grand Est;4.41;14.89;9.65
